src_port,dst_port,protocol,duration,pkt_count,total_bytes,mean_pkt_len,max_pkt_len,mean_iat,bytes_per_sec,label
49647,5355,17,0,1,79,79.0,79,0,0,0
0,0,2,0.20973682403564453,2,120,60.0,60,0.20973682403564453,572.1455950892349,0
443,28584,6,0,1,60,60.0,60,0,0,0
5353,5353,17,0,1,141,141.0,141,0,0,0
5050,5050,17,0,1,74,74.0,74,0,0,0
443,65070,17,0.0479283332824707,11,5647,513.3636363636364,1292,0.00479283332824707,117821.7478734094,0
0,0,2,0.10139846801757812,2,120,60.0,60,0.10139846801757812,1183.4498325871864,0
53,55970,17,0,1,85,85.0,85,0,0,0
53,56225,17,0,1,166,166.0,166,0,0,0
443,65267,17,0.4781520366668701,8,4671,583.875,1242,0.06830743380955287,9768.859362308434,0
51453,5355,17,0.1096947193145752,2,158,79.0,79,0.1096947193145752,1440.3610400505984,0
55886,5355,17,0.1963646411895752,2,158,79.0,79,0.1963646411895752,804.6255122247949,0
60038,5355,17,0.100982666015625,2,158,79.0,79,0.100982666015625,1564.624962224237,0
138,138,17,0,1,243,243.0,243,0,0,0
12223,12223,17,0,1,377,377.0,377,0,0,0
59177,5355,17,0.0959618091583252,2,158,79.0,79,0.0959618091583252,1646.4883414121489,0
443,52582,6,0,1,66,66.0,66,0,0,0
3702,3702,17,0.0011229515075683594,2,1674,837.0,845,0.0011229515075683594,1490714.415286624,0
5353,5353,17,0,1,425,425.0,425,0,0,0
57219,5355,17,0.1013784408569336,2,158,79.0,79,0.1013784408569336,1558.5167681062624,0
51236,5355,17,0.10340714454650879,2,158,79.0,79,0.10340714454650879,1527.9408467655473,0
37020,37020,17,5.9427642822265625,2,332,166.0,166,5.9427642822265625,55.86625755844556,0
12223,12223,17,5.048091173171997,2,738,369.0,369,5.048091173171997,146.19387302711363,0
5050,5050,17,1.945619821548462,2,148,74.0,74,1.945619821548462,76.06830397225863,0
3702,3702,17,0,1,829,829.0,829,0,0,0
57482,5355,17,0.002348661422729492,2,158,79.0,79,0.002348661422729492,67272.361384631,0
50668,5355,17,0.10785079002380371,2,158,79.0,79,0.10785079002380371,1464.98695062992,0
34455,3702,17,4.916455268859863,2,1274,637.0,637,4.916455268859863,259.1297856545827,0
3702,3702,17,0.0008585453033447266,2,1674,837.0,845,0.0008585453033447266,1949809.7461816163,0
5353,5353,17,0,1,119,119.0,119,0,0,0
57189,5355,17,0.10423493385314941,2,158,79.0,79,0.10423493385314941,1515.8065934267017,0
1900,1900,17,0.002187013626098633,4,1615,403.75,444,0.0007290045420328776,738449.9029761256,0
61723,5355,17,0.11167383193969727,2,158,79.0,79,0.11167383193969727,1414.8345879750807,0
3702,3702,17,0.0008554458618164062,2,1674,837.0,845,0.0008554458618164062,1956874.2742474917,0
49271,6667,17,0,1,312,312.0,312,0,0,0
55004,1900,17,0,1,143,143.0,143,0,0,0
5353,5353,17,0,1,84,84.0,84,0,0,0
5050,5050,17,2.0579822063446045,2,148,74.0,74,2.0579822063446045,71.91510186226446,0
5050,5050,17,2.043006181716919,2,148,74.0,74,2.043006181716919,72.44226734332369,0
5353,5353,17,1.9793314933776855,4,887,221.75,425,0.6597771644592285,448.131100307182,0
5050,5050,17,2.020890712738037,2,148,74.0,74,2.020890712738037,73.23503397147081,0
3702,3702,17,0,1,845,845.0,845,0,0,0
1900,1900,17,0,1,418,418.0,418,0,0,0
53116,5355,17,0,1,79,79.0,79,0,0,0
57621,57621,17,0,1,86,86.0,86,0,0,0
53,58851,17,0,1,234,234.0,234,0,0,0
53,58851,17,0,1,234,234.0,234,0,0,0
443,59469,6,0.8659007549285889,15,9489,632.6,1506,0.061850053923470635,10958.53069302678,0
51610,5355,17,0.10474324226379395,2,158,79.0,79,0.10474324226379395,1508.4505366186763,0
138,138,17,0,1,243,243.0,243,0,0,0
53,51381,17,0,1,183,183.0,183,0,0,0
52911,5355,17,0.0044002532958984375,2,158,79.0,79,0.0044002532958984375,35907.023840485475,0
443,38678,6,0.3122227191925049,13,8663,666.3846153846154,2958,0.02601855993270874,27746.219180990214,0
53,51381,17,0,1,76,76.0,76,0,0,0
3702,3702,17,0.0009036064147949219,2,1674,837.0,845,0.0009036064147949219,1852576.4897097626,0
443,14767,6,1.1713616847991943,14,9436,674.0,2958,0.09010474498455341,8055.5819115917275,0
443,54733,6,0.9722118377685547,62,114954,1854.0967741935483,14574,0.015937898979812373,118239.66293585289,0
53416,3702,17,0,1,1253,1253.0,1253,0,0,0
53,52576,17,0,1,307,307.0,307,0,0,0
53,52576,17,0,1,255,255.0,255,0,0,0
443,4776,6,0.2865591049194336,13,12556,965.8461538461538,7314,0.0238799254099528,43816.440603170275,0
0,0,2,9.623267412185669,4,240,60.0,60,3.2077558040618896,24.939554282373454,0
5353,5353,17,3.904289484024048,6,1737,289.5,425,0.7808578968048095,444.89528942657194,0
5222,63085,6,0.20450234413146973,2,186,93.0,126,0.20450234413146973,909.5250266687652,0
53,50892,17,2.4182324409484863,3,812,270.6666666666667,344,1.2091162204742432,335.78244433835937,0
443,5391,6,0.47849321365356445,12,9307,775.5833333333334,2958,0.04349938305941495,19450.641585772613,0
55794,5355,17,0.09608244895935059,2,158,79.0,79,0.09608244895935059,1644.4210333028122,0
443,26829,6,0.2684822082519531,12,8600,716.6666666666666,2958,0.024407473477450283,32031.917705062446,0
40039,3702,17,0,1,1253,1253.0,1253,0,0,0
63926,5355,17,0,1,79,79.0,79,0,0,0
61917,5355,17,0.20738649368286133,2,158,79.0,79,0.20738649368286133,761.8625359548056,0
53,50892,17,0,1,344,344.0,344,0,0,0
443,1441,6,0.3626677989959717,9,19821,2202.3333333333335,14574,0.04533347487449646,54653.32200673311,0
1740,1740,17,0,1,60,60.0,60,0,0,0
1740,1741,17,0,1,60,60.0,60,0,0,0
1740,1742,17,0,1,60,60.0,60,0,0,0
1740,1743,17,0,1,60,60.0,60,0,0,0
443,52058,6,0,1,60,60.0,60,0,0,0
53,52384,17,0,1,212,212.0,212,0,0,0
5353,5353,17,4.101159572601318,3,252,84.0,84,2.050579786300659,61.44603630727767,0
51067,5355,17,0.10390520095825195,2,158,79.0,79,0.10390520095825195,1520.6168559693444,0
443,52582,6,0.07376313209533691,2,173,86.5,113,0.07376313209533691,2345.345094299982,0
5353,5353,17,0,1,84,84.0,84,0,0,0
65524,5355,17,0.10149145126342773,2,158,79.0,79,0.10149145126342773,1556.7813646678537,0
53101,5355,17,0,1,79,79.0,79,0,0,0
443,36380,6,6.15012526512146,13,9368,720.6153846153846,2958,0.5125104387601217,1523.2210070789492,0
443,39480,6,5.932892084121704,11,9442,858.3636363636364,2958,0.5932892084121704,1591.4666685527247,0
5050,5050,17,1.9463512897491455,2,148,74.0,74,1.9463512897491455,76.03971635514723,0
3702,3702,17,0.0009031295776367188,2,1674,837.0,845,0.0009031295776367188,1853554.6187961986,0
5050,5050,17,1.9447994232177734,2,148,74.0,74,1.9447994232177734,76.10039278761518,0
3702,3702,17,0.0019373893737792969,2,1674,837.0,845,0.0019373893737792969,864049.334974157,0
0,0,2,0.07148551940917969,2,120,60.0,60,0.07148551940917969,1678.6616505242937,0
5353,5353,17,1.0250897407531738,2,168,84.0,84,1.0250897407531738,163.88809030179522,0
49340,5355,17,0.0596771240234375,2,158,79.0,79,0.0596771240234375,2647.580669905395,0
